# Gelöschte Liquiflow-Branches — Wiederherstellungsliste
# Stand: 2026-08-11  Repo: jonas-liquify/dicota-3
#
# Branch wiederherstellen:
#   gh api -X POST repos/jonas-liquify/dicota-3/git/refs -f ref=refs/heads/<NAME> -f sha=<SHA>
#
# NAME	SHA	OFFENER_PR
liquify_conversion_2026-05-22_12-16	45e85b32c2ff3a3b5857430ce038b5a05901fb14	-
liquify_conversion_2026-05-22_18-28	996a087d984a65cbd0387ff4d5234b04d1870ba7	-
liquify_conversion_2026-05-22_18-33	1803a202416aacd1805af37da0d9c51ab4599679	-
liquify_conversion_2026-05-22_18-37	a0f4f0c0d140291ebd1b341a74612510539ec136	-
liquify_conversion_2026-05-22_19-08	e5065df56f28b7671d6254b61f9245169366eba7	-
liquify_conversion_2026-05-22_19-22	2221b42add54d8aa0c5f80749f385274af6c1572	-
liquify_conversion_2026-05-22_19-25	e87b29e4f652c8aea7b77f6c8341d8cc7c9c1f04	-
liquify_conversion_2026-05-22_19-28	073fbe9edbedcebe7e38d025afe739b146280269	-
liquify_conversion_2026-05-22_21-45	2890e466dd4967821b5f363367392dd1216ebdae	-
liquify_conversion_2026-05-22_22-01	7c8353a5982db51b2b357f28ac47ab9a62b8c47a	-
liquify_conversion_2026-05-22_22-03	e905e6b1e7022267295fcb91c491afbd2b91e74e	-
liquify_conversion_2026-05-22_22-07	75695122db2817f7c460b0fe483aacbec1e37f02	-
liquify_conversion_2026-05-24_11-31	3787f87e350be74063333cfe54757836bb289413	-
liquify_conversion_2026-05-26_01-08	42569f2ff07f6f90b651d9b78f0c2c3940f59fe9	-
liquify_conversion_2026-05-26_15-03	93465119c81619e02c390f8c147bcbc400496c69	-
liquify_conversion_2026-05-26_15-54	0a0671fcda7831d12a13dad8c84e59ddd17a5be0	#23
liquify_conversion_2026-05-26_21-42	756b04502a374ca4cdc773c2a945fcd2f0848369	#25
liquify_conversion_2026-05-27_15-41	161aa209bf8e85eab1ab48f9db8a7e80a53a643e	#27
liquify_conversion_2026-05-27_15-50	2db822204027d5cf1073c68e4998c6e23c77c512	#28
liquify_conversion_2026-05-28_14-25	3b79cf1fff63b9a037a0bb32b34731100e8cdb57	#31
liquify_conversion_2026-05-28_14-28	b5a639b4cb133d484f27b82404663f284c8f5e6e	#32
liquify_conversion_2026-05-28_14-29	0e5dc4dc317eba9899331ff99be655d142699b04	#33
liquify_conversion_2026-06-03_10-55	d77c2921165f83d610031f1c4a39de543ba3ffac	#36
liquify_conversion_2026-06-03_11-01	5d94ff1ee1b524cae2a02d572f095742b46979ea	-
liquify_conversion_2026-06-09_15-39	cbaf11f3a80368bcf95994c829ac7f3f61618014	#43
liquify_conversion_2026-06-09_15-44	27cd79569ffbc4bd881fcfeaee835da522d5f0e3	#45
liquify_conversion_2026-06-09_18-37	c6bb5a2629987dcd32d33ad927447b1253aa19f8	-
liquify_conversion_2026-06-10_10-32	4ce836a22a6135b6510f1231c172736d55af9451	#52
liquify_conversion_2026-06-10_12-32	4889a1a7710f4f680f14981fab3fac20566a110b	#54
liquify_conversion_2026-06-10_12-42	b1a021b8db315fd80c7ca33d3b8f9d20a8e92c54	-
liquify_conversion_2026-06-10_13-08	74884ff9eba623e30ae11011207e2526dd7a4cf9	-
liquify_conversion_2026-06-10_15-01	55836404514749fb5267e31389a65472939aec60	#58
liquify_conversion_2026-06-10_15-27	8ae506868f601485ea2a6ceb0b9b56284d509ffe	#60
liquify_conversion_2026-06-10_17-13	e14d1fced7e203493cee584a73022565fb42b4a9	-
liquify_conversion_2026-06-15_19-47	db4d2d98c083c8f2bc2e274753a249634902bc18	#68
